task,dim,n_x,treatment,scores,median,uses_llm
SS-M,high,17,T0_UCB_GPM,"[0.002554495030733923, 0.002554495030733923, 0.14991196853805291, 0.002554495030733923, 0.0058425102141571195, 0.00661764705882357, 0.005882352941176553, 0.002554495030733923, 0.004760235019133437, 0.0034706963960745834]",0.004115465707604,False
SS-M,high,17,T1_SingleStep_LLM,"[0.004760235019133437, 0.0049506444198987734, 0.002554495030733923, 0.00661764705882357, 0.0058425102141571195, 0.004594654478053393, 0.004594654478053393, 0.002554495030733923, 0.0034706963960745834, 0.0034706963960745834]",0.0045946544780533,True
SS-M,high,17,T2_Iterative_LLM,"[0.002554495030733923, 0.002554495030733923, 0.004760235019133437, 0.002554495030733923, 0.002554495030733923, 0.005882352941176553, 0.005882352941176553, 0.002554495030733923, 0.002554495030733923, 0.002554495030733923]",0.0025544950307339,True
SS-M,high,17,T1b_SynthCore,"[0.002554495030733923, 0.002554495030733923, 0.0034706963960745834, 0.002554495030733923, 0.002554495030733923, 0.004594654478053393, 0.002554495030733923, 0.002554495030733923, 0.004594654478053393, 0.002554495030733923]",0.0025544950307339,True
SS-M,high,17,T3a_Constraint_Single,"[0.00661764705882357, 0.005500578997497775, 0.02410068349246688, 0.01244805568241752, 0.005500578997497775, 0.008823529411764725, 0.005882352941176553, 0.002554495030733923, 0.003676470588235293, 0.003676470588235293]",0.0056914659693371,True
SS-M,high,17,T3b_Constraint_Ensemble,"[0.005882352941176553, 0.002554495030733923, 0.002554495030733923, 0.002554495030733923, 0.005500578997497775, 0.0058425102141571195, 0.005882352941176553, 0.002554495030733923, 0.0034706963960745834, 0.002554495030733923]",0.003012595713404253,True
SS-M,high,17,T4_LLM_DimReduction,"[0.007683298851089731, 0.002554495030733923, 0.003676470588235293, 0.005500578997497775, 0.005882352941176553, 0.003676470588235293, 0.005882352941176553, 0.002554495030733923, 0.004760235019133437, 0.006095402837971538]",0.005130407008315606,True
SS-N,high,17,T0_UCB_GPM,"[0.2692728396823132, 0.25248490036619586, 0.13387549341323063, 0.25475579017453753, 0.18448899034574592, 0.2553502639463547, 0.2711989347030009, 0.1761069101631236, 0.2584771959861131, 0.2528891425310315]",0.2538224663527845,False
SS-N,high,17,T1_SingleStep_LLM,"[0.2692728396823132, 0.12486327103248203, 0.12486327103248203, 0.2520212108241784, 0.1543610595900509, 0.142328910448471, 0.2732677034289247, 0.255706948209445, 0.2791292148190422, 0.25281780567841344]",0.2524195082512959,True
SS-N,high,17,T2_Iterative_LLM,"[0.2692728396823132, 0.12486327103248203, 0.13387549341323063, 0.251902316069815, 0.13206829314690635, 0.12486327103248203, 0.2226660959718457, 0.2780829409806439, 0.1343867408569934, 0.25203310029961484]",0.17852641841441955,True
SS-N,high,17,T1b_SynthCore,"[0.13206829314690635, 0.12486327103248203, 0.13387549341323063, 0.19489228135254671, 0.15924763399438818, 0.24904884196509247, 0.27129405050649164, 0.19489228135254671, 0.18778237504161316, 0.25203310029961484]",0.19133732819707994,True
SS-N,high,17,T3a_Constraint_Single,"[0.27534836163028487, 0.12486327103248203, 0.13387549341323063, 0.2520212108241784, 0.18125505302706044, 0.25850097493698576, 0.2714605031626004, 0.2769653302896276, 0.10348599419793598, 0.24835925238978454]",0.25019023160698145,True
SS-N,high,17,T3b_Constraint_Ensemble,"[0.17878204213630092, 0.12486327103248203, 0.12486327103248203, 0.19516573928758266, 0.14356541589385075, 0.24904884196509247, 0.27129405050649164, 0.19516573928758266, 0.12486327103248203, 0.25203310029961484]",0.1869738907119418,True
SS-N,high,17,T4_LLM_DimReduction,"[0.25544537974984544, 0.2527583583012318, 0.11879963855994674, 0.2516883055119608, 0.157131307366719, 0.2553502639463547, 0.2516883055119608, 0.2516883055119608, 0.25214010557854183, 0.25392352689399345]",0.25191420554525135,True
SS-Q,high,13,T0_UCB_GPM,"[0.06475296481782933, 0.049614884465339605, 0.049614884465339605, 0.049614884465339605, 0.06882064619385815, 0.05991797539261778, 0.06806034603068185, 0.05871218998572705, 0.055616685005501654, 0.05357939611830599]",0.057164437495614354,False
SS-Q,high,13,T1_SingleStep_LLM,"[0.056416925077523244, 0.06091827548264478, 0.05464042639262471, 0.05051515454636392, 0.06639490129649045, 0.05151545463639093, 0.05464042639262471, 0.06010947462639488, 0.30945185319575425, 0.05584165923028957]",0.056129292153906406,True
SS-Q,high,13,T2_Iterative_LLM,"[0.05151545463639093, 0.05371425732596184, 0.05464042639262471, 0.05151545463639093, 0.05371425732596184, 0.05285487439274857, 0.05464042639262471, 0.05371425732596184, 0.05215790881398347, 0.049614884465339605]",0.053284565859355204,True
SS-Q,high,13,T1b_SynthCore,"[0.05464042639262471, 0.05371425732596184, 0.05531659497849354, 0.05051515454636392, 0.055616685005501654, 0.053937815376535615, 0.056416925077523244, 0.05285487439274857, 0.21824324296859277, 0.053937815376535615]",0.05428912088458016,True
SS-Q,high,13,T3a_Constraint_Single,"[0.05464042639262471, 0.05631689506852055, 0.06639490129649045, 0.05371425732596184, 0.055616685005501654, 0.05464042639262471, 0.07136906524943278, 0.06846562632360961, 0.06882064619385815, 0.053937815376535615]",0.055966790037011105,True
SS-Q,high,13,T3b_Constraint_Ensemble,"[0.05601680504151246, 0.05751725517655298, 0.04966537263223636, 0.048579519243735055, 0.05601680504151246, 0.053937815376535615, 0.053937815376535615, 0.05051515454636392, 0.05371425732596184, 0.053937815376535615]",0.053937815376535615,True
SS-Q,high,13,T4_LLM_DimReduction,"[0.048579519243735055, 0.049614884465339605, 0.05371425732596184, 0.053937815376535615, 0.05051515454636392, 0.04966537263223636, 0.05531659497849354, 0.049614884465339605, 0.060717047861724285, 0.19874173925320443]",0.05211470593616288,True
SS-R,high,14,T0_UCB_GPM,"[0.31960222023488366, 0.20884224626194642, 0.2168921549542535, 0.21709377346422318, 0.18135260528194141, 0.2656607613148954, 0.20170077959157187, 0.3557389327006698, 0.219789667862473, 0.22043461534896222]",0.2184417206633481,False
SS-R,high,14,T1_SingleStep_LLM,"[0.23168770915023587, 0.31994097111871556, 0.2079569787813898, 0.25030404998285083, 0.24138834042474308, 0.22890074722285858, 0.219789667862473, 0.35578204644952116, 0.2657334387772448, 0.23223159227697251]",0.2368099663508578,True
SS-R,high,14,T2_Iterative_LLM,"[0.16429614282933339, 0.1918075678782316, 0.14828902361022267, 0.19986396544212381, 0.13573070413374622, 0.16429614282933339, 0.19524481585509418, 0.4948214228522578, 0.2142210573152758, 0.3557389327006698]",0.1935261918666629,True
SS-R,high,14,T1b_SynthCore,"[0.1370536803127841, 0.16429614282933339, 0.1380071100730963, 0.21709377346422318, 0.1918075678782316, 0.2232829982294651, 0.19986396544212381, 0.3270362623582481, 0.20128271086515198, 0.23544059438063727]",0.2005733381536379,True
SS-R,high,14,T3a_Constraint_Single,"[0.2168921549542535, 0.20079558200543215, 0.1903716732945854, 0.2142210573152758, 0.3398743049447774, 0.19987578445822549, 0.20553778840716735, 0.3570458952015629, 0.1370536803127841, 0.35578204644952116]",0.20987942286122158,True
SS-R,high,14,T3b_Constraint_Ensemble,"[0.1918075678782316, 0.16429614282933339, 0.1850605319020736, 0.1370536803127841, 0.21154856920381535, 0.2659619288634278, 0.19986396544212381, 0.16429614282933339, 0.20851316777440979, 0.21154856920381535]",0.1958357666601777,True
SS-R,high,14,T4_LLM_DimReduction,"[0.21154856920381535, 0.21154856920381535, 0.22119103237946913, 0.21546020004264113, 0.2168921549542535, 0.2364153155909045, 0.2168921549542535, 0.2168921549542535, 0.23759489974693407, 0.25870737043113906]",0.2168921549542535,True
SS-T,high,12,T0_UCB_GPM,"[0.08569887212751633, 0.03670489704515554, 0.0353423405108787, 0.03619539303149312, 0.03785519054637912, 0.04050282581208346, 0.03504073547019535, 0.03802992714009638, 0.05944072046253443, 0.10203055522867525]",0.037942558843237745,False
SS-T,high,12,T1_SingleStep_LLM,"[0.10123861325516142, 0.03711305788598384, 0.04785482808694517, 0.09321795301609828, 0.05393898357928984, 0.03504073547019535, 0.12273131257416305, 0.05852382871768315, 0.06524666187522336, 0.03990132860172242]",0.0562314061484865,True
SS-T,high,12,T2_Iterative_LLM,"[0.16782938561671265, 0.03513722968739147, 0.0783769314513879, 0.09459224869525547, 0.03504073547019535, 0.03663193599403112, 0.03504073547019535, 0.03618557389632618, 0.03504073547019535, 0.08363250872878485]",0.036408754945178645,True
SS-T,high,12,T1b_SynthCore,"[0.05060785910876864, 0.035107772281890645, 0.0783769314513879, 0.09459224869525547, 0.05645325616495808, 0.08569887212751633, 0.03504073547019535, 0.06771344692354107, 0.035254331966049074, 0.07877867794944424]",0.06208335154424958,True
SS-T,high,12,T3a_Constraint_Single,"[0.10212913223515446, 0.08605154403015895, 0.08928658938558733, 0.04521585003996006, 0.04102988089460449, 0.03708093355488212, 0.04328945136189385, 0.056042622141748114, 0.05418075462458024, 0.1207598138460935]",0.05511168838316417,True
SS-T,high,12,T3b_Constraint_Ensemble,"[0.16728697406086077, 0.03547932350765208, 0.0886151258198242, 0.03673835483905771, 0.10584272389839094, 0.035254331966049074, 0.03504073547019535, 0.040340117859347956, 0.03619539303149312, 0.03513722968739147]",0.036466873935275416,True
SS-T,high,12,T4_LLM_DimReduction,"[0.0675555829480244, 0.08186447084441163, 0.0353423405108787, 0.03897651153766567, 0.10411509389235613, 0.03741454170277624, 0.06924746964637597, 0.05852382871768315, 0.05619034274616552, 0.08605154403015895]",0.06303970583285377,True
SS-U,high,21,T0_UCB_GPM,"[0.3203207508088778, 0.3243820815028155, 0.3215174650393024, 0.32039889042900055, 0.5910832247742462, 0.30851791062083844, 0.3137363779581798, 0.30580173912448017, 0.3139438991476035, 0.319755551529126]",0.3200381511690019,False
SS-U,high,21,T1_SingleStep_LLM,"[0.31962737411661496, 0.3118631887542898, 0.3514521868901389, 0.31322675849363235, 0.30851791062083844, 0.32135307587561673, 0.3118631887542898, 0.3193941303972103, 0.31685325801521214, 0.3206325258620598]",0.3181236942062112,True
SS-U,high,21,T2_Iterative_LLM,"[0.3139438991476035, 0.3139438991476035, 0.31322675849363235, 0.3193807831171299, 0.30580173912448017, 0.3084754604670175, 0.30638424634459704, 0.3128564295030542, 0.31382348346861744, 0.3139760776989277]",0.3135251209811249,True
SS-U,high,21,T1b_SynthCore,"[0.3174860206464143, 0.3128564295030542, 0.30638424634459704, 0.3139760776989277, 0.31622206223862814, 0.3084754604670175, 0.30638424634459704, 0.3084754604670175, 0.30638424634459704, 0.3139760776989277]",0.31066594498503586,True
SS-U,high,21,T3a_Constraint_Single,"[0.3137089144786231, 0.3276509754736329, 0.32038078455341334, 0.3178557693204672, 0.3193941303972103, 0.3118631887542898, 0.3167953424259938, 0.3214806729716026, 0.31842910753948533, 0.31915139850261803]",0.3187902530210517,True
SS-U,high,21,T3b_Constraint_Ensemble,"[0.32280965584604127, 0.32196126210197523, 0.30638424634459704, 0.30638424634459704, 0.3214021851615647, 0.30638424634459704, 0.31382348346861744, 0.31962737411661496, 0.30638424634459704, 0.30730549882840624]",0.3105644911485118,True
SS-U,high,21,T4_LLM_DimReduction,"[0.31322675849363235, 0.31900755254392554, 0.5748335641324694, 0.3244767601439074, 0.5861343144628762, 0.3177812566786271, 0.3193807831171299, 0.3203420339174408, 0.32036331702600374, 0.3300309952933073]",0.3203526754717223,True
SS-V,high,16,T0_UCB_GPM,"[0.01745296828504929, 0.04333270406204029, 0.24475236911775083, 0.02417985691305842, 0.009775159916052767, 0.02922605112219328, 0.0733497508117922, 0.20383202841490375, 0.2361035698866763, 0.21590762899282312]",0.05834122743691624,False
SS-V,high,16,T1_SingleStep_LLM,"[0.25504720179553503, 0.2520057417915564, 0.0, 0.0, 0.0, 0.2503445945488447, 0.06601689972274451, 0.2520057417915564, 0.27766965256163934, 0.025615005332458952]",0.1581807471357946,True
SS-V,high,16,T2_Iterative_LLM,"[0.2232775189579396, 0.36105677757425436, 0.18254761208471723, 0.18184693650206626, 0.3627983302116964, 0.18254761208471723, 0.0, 0.36105677757425436, 0.2232775189579396, 0.3624314239880884]",0.2232775189579396,True
SS-V,high,16,T1b_SynthCore,"[0.2232775189579396, 0.36105677757425436, 0.2300442677039379, 0.23192833336181445, 0.35713589350444475, 0.20383202841490375, 0.0359283648406319, 0.36105677757425436, 0.2300442677039379, 0.3208250617207125]",0.23098630053287617,True
SS-V,high,16,T3a_Constraint_Single,"[0.2691796489472254, 0.3402786129549495, 0.23343169257426555, 0.22298632648830186, 0.07453483363216998, 0.20383202841490375, 0.023236554525255974, 0.24034236496165845, 0.24034236496165845, 0.2808090096602548]",0.236887028767962,True
SS-V,high,16,T3b_Constraint_Ensemble,"[0.18184693650206626, 0.35713589350444475, 0.2300442677039379, 0.18184693650206626, 0.2605807856981413, 0.22169423799223015, 0.0, 0.3338078124863975, 0.18254761208471723, 0.252426791996443]",0.225869252848084,True
SS-V,high,16,T4_LLM_DimReduction,"[0.02705921641698404, 0.23343169257426555, 0.25034060450670026, 0.2260683317690219, 0.23343169257426555, 0.23343169257426555, 0.03362634214538844, 0.023236554525255974, 0.2361035698866763, 0.2371725384503031]",0.23343169257426555,True
SS-W,high,16,T0_UCB_GPM,"[0.10990845500004726, 0.21300071586417252, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.42082308817579117, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726]",0.10990845500004726,False
SS-W,high,16,T1_SingleStep_LLM,"[0.10990845500004726, 0.2801344104800138, 0.10990845500004726, 0.42243378256403863, 0.36578713934451734, 0.27918313673005685, 0.38911382921904286, 0.2612467567613651, 0.25234528025927294, 0.10990845500004726]",0.270214946745711,True
SS-W,high,16,T2_Iterative_LLM,"[0.31968363262529026, 0.19754534208501254, 0.10990845500004726, 0.3195360888916556, 0.208093671497398, 0.22094671490247836, 0.22367642939400545, 0.3578170233106141, 0.10990845500004726, 0.23786143359581682]",0.2223115721482419,True
SS-W,high,16,T1b_SynthCore,"[0.29382903202562394, 0.35739129758162413, 0.33408121944122526, 0.3189330511376016, 0.30657272246257267, 0.3109515718534469, 0.3218535841052841, 0.29577566277028855, 0.28907684646269727, 0.27810142171700636]",0.30876214715800976,True
SS-W,high,16,T3a_Constraint_Single,"[0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.10990845500004726, 0.3772162245264481, 0.37206224597953974, 0.10990845500004726, 0.10990845500004726]",0.10990845500004726,True
SS-W,high,16,T3b_Constraint_Ensemble,"[0.32180428896012936, 0.354303847112204, 0.2801674135443471, 0.3483302924676567, 0.3359075912726819, 0.3471097291383514, 0.33291181086163835, 0.32724518471540104, 0.3718779788703388, 0.3431985122475022]",0.33955305176009204,True
SS-W,high,16,T4_LLM_DimReduction,"[0.10990845500004726, 0.10990845500004726, 0.26791172560372206, 0.10990845500004726, 0.10990845500004726, 0.27918313673005685, 0.10990845500004726, 0.35571307795928875, 0.10990845500004726, 0.10990845500004726]",0.10990845500004726,True
